# event_id; type; stop_id; line_id; line_direction; line_freq_repetition
1; "departure"; 67; 1; >; 1
2; "arrival"; 53; 1; >; 1
3; "departure"; 53; 1; >; 1
4; "arrival"; 56; 1; >; 1
5; "departure"; 56; 1; >; 1
6; "arrival"; 33; 1; >; 1
7; "departure"; 33; 1; >; 1
8; "arrival"; 7; 1; >; 1
9; "departure"; 7; 1; >; 1
10; "arrival"; 27; 1; >; 1
11; "departure"; 27; 1; >; 1
12; "arrival"; 19; 1; >; 1
13; "departure"; 19; 1; >; 1
14; "arrival"; 47; 1; >; 1
15; "departure"; 47; 1; >; 1
16; "arrival"; 8; 1; >; 1
17; "departure"; 8; 1; >; 1
18; "arrival"; 5; 1; >; 1
19; "departure"; 5; 1; >; 1
20; "arrival"; 36; 1; >; 1
21; "departure"; 36; 1; >; 1
22; "arrival"; 52; 1; >; 1
23; "departure"; 52; 1; >; 1
24; "arrival"; 39; 1; >; 1
25; "departure"; 39; 1; >; 1
26; "arrival"; 57; 1; >; 1
27; "departure"; 57; 1; >; 1
28; "arrival"; 34; 1; >; 1
29; "departure"; 34; 1; >; 1
30; "arrival"; 30; 1; >; 1
31; "departure"; 30; 1; >; 1
32; "arrival"; 11; 1; >; 1
33; "departure"; 11; 1; >; 1
34; "arrival"; 38; 1; >; 1
35; "departure"; 38; 1; >; 1
36; "arrival"; 31; 1; >; 1
37; "departure"; 31; 1; >; 1
38; "arrival"; 65; 1; >; 1
39; "departure"; 65; 1; >; 1
40; "arrival"; 20; 1; >; 1
41; "departure"; 20; 1; >; 1
42; "arrival"; 9; 1; >; 1
43; "departure"; 9; 1; >; 1
44; "arrival"; 6; 1; >; 1
45; "departure"; 6; 1; >; 1
46; "arrival"; 55; 1; >; 1
47; "departure"; 55; 1; >; 1
48; "arrival"; 48; 1; >; 1
49; "departure"; 48; 1; >; 1
50; "arrival"; 37; 1; >; 1
51; "departure"; 37; 1; >; 1
52; "arrival"; 23; 1; >; 1
53; "departure"; 23; 1; >; 1
54; "arrival"; 64; 1; >; 1
55; "departure"; 64; 1; >; 1
56; "arrival"; 49; 1; >; 1
57; "departure"; 49; 1; <; 1
58; "arrival"; 64; 1; <; 1
59; "departure"; 64; 1; <; 1
60; "arrival"; 23; 1; <; 1
61; "departure"; 23; 1; <; 1
62; "arrival"; 37; 1; <; 1
63; "departure"; 37; 1; <; 1
64; "arrival"; 48; 1; <; 1
65; "departure"; 48; 1; <; 1
66; "arrival"; 55; 1; <; 1
67; "departure"; 55; 1; <; 1
68; "arrival"; 6; 1; <; 1
69; "departure"; 6; 1; <; 1
70; "arrival"; 9; 1; <; 1
71; "departure"; 9; 1; <; 1
72; "arrival"; 20; 1; <; 1
73; "departure"; 20; 1; <; 1
74; "arrival"; 65; 1; <; 1
75; "departure"; 65; 1; <; 1
76; "arrival"; 31; 1; <; 1
77; "departure"; 31; 1; <; 1
78; "arrival"; 38; 1; <; 1
79; "departure"; 38; 1; <; 1
80; "arrival"; 11; 1; <; 1
81; "departure"; 11; 1; <; 1
82; "arrival"; 30; 1; <; 1
83; "departure"; 30; 1; <; 1
84; "arrival"; 34; 1; <; 1
85; "departure"; 34; 1; <; 1
86; "arrival"; 57; 1; <; 1
87; "departure"; 57; 1; <; 1
88; "arrival"; 39; 1; <; 1
89; "departure"; 39; 1; <; 1
90; "arrival"; 52; 1; <; 1
91; "departure"; 52; 1; <; 1
92; "arrival"; 36; 1; <; 1
93; "departure"; 36; 1; <; 1
94; "arrival"; 5; 1; <; 1
95; "departure"; 5; 1; <; 1
96; "arrival"; 8; 1; <; 1
97; "departure"; 8; 1; <; 1
98; "arrival"; 47; 1; <; 1
99; "departure"; 47; 1; <; 1
100; "arrival"; 19; 1; <; 1
101; "departure"; 19; 1; <; 1
102; "arrival"; 27; 1; <; 1
103; "departure"; 27; 1; <; 1
104; "arrival"; 7; 1; <; 1
105; "departure"; 7; 1; <; 1
106; "arrival"; 33; 1; <; 1
107; "departure"; 33; 1; <; 1
108; "arrival"; 56; 1; <; 1
109; "departure"; 56; 1; <; 1
110; "arrival"; 53; 1; <; 1
111; "departure"; 53; 1; <; 1
112; "arrival"; 67; 1; <; 1
113; "departure"; 48; 2; >; 1
114; "arrival"; 3; 2; >; 1
115; "departure"; 3; 2; <; 1
116; "arrival"; 48; 2; <; 1
117; "departure"; 5; 3; >; 1
118; "arrival"; 36; 3; >; 1
119; "departure"; 36; 3; >; 1
120; "arrival"; 52; 3; >; 1
121; "departure"; 52; 3; >; 1
122; "arrival"; 39; 3; >; 1
123; "departure"; 39; 3; >; 1
124; "arrival"; 57; 3; >; 1
125; "departure"; 57; 3; >; 1
126; "arrival"; 34; 3; >; 1
127; "departure"; 34; 3; >; 1
128; "arrival"; 30; 3; >; 1
129; "departure"; 30; 3; >; 1
130; "arrival"; 11; 3; >; 1
131; "departure"; 11; 3; >; 1
132; "arrival"; 54; 3; >; 1
133; "departure"; 54; 3; >; 1
134; "arrival"; 62; 3; >; 1
135; "departure"; 62; 3; >; 1
136; "arrival"; 12; 3; >; 1
137; "departure"; 12; 3; >; 1
138; "arrival"; 41; 3; >; 1
139; "departure"; 41; 3; >; 1
140; "arrival"; 4; 3; >; 1
141; "departure"; 4; 3; >; 1
142; "arrival"; 44; 3; >; 1
143; "departure"; 44; 3; >; 1
144; "arrival"; 10; 3; >; 1
145; "departure"; 10; 3; <; 1
146; "arrival"; 44; 3; <; 1
147; "departure"; 44; 3; <; 1
148; "arrival"; 4; 3; <; 1
149; "departure"; 4; 3; <; 1
150; "arrival"; 41; 3; <; 1
151; "departure"; 41; 3; <; 1
152; "arrival"; 12; 3; <; 1
153; "departure"; 12; 3; <; 1
154; "arrival"; 62; 3; <; 1
155; "departure"; 62; 3; <; 1
156; "arrival"; 54; 3; <; 1
157; "departure"; 54; 3; <; 1
158; "arrival"; 11; 3; <; 1
159; "departure"; 11; 3; <; 1
160; "arrival"; 30; 3; <; 1
161; "departure"; 30; 3; <; 1
162; "arrival"; 34; 3; <; 1
163; "departure"; 34; 3; <; 1
164; "arrival"; 57; 3; <; 1
165; "departure"; 57; 3; <; 1
166; "arrival"; 39; 3; <; 1
167; "departure"; 39; 3; <; 1
168; "arrival"; 52; 3; <; 1
169; "departure"; 52; 3; <; 1
170; "arrival"; 36; 3; <; 1
171; "departure"; 36; 3; <; 1
172; "arrival"; 5; 3; <; 1
173; "departure"; 50; 4; >; 1
174; "arrival"; 61; 4; >; 1
175; "departure"; 61; 4; >; 1
176; "arrival"; 25; 4; >; 1
177; "departure"; 25; 4; >; 1
178; "arrival"; 35; 4; >; 1
179; "departure"; 35; 4; >; 1
180; "arrival"; 17; 4; >; 1
181; "departure"; 17; 4; >; 1
182; "arrival"; 18; 4; >; 1
183; "departure"; 18; 4; >; 1
184; "arrival"; 60; 4; >; 1
185; "departure"; 60; 4; >; 1
186; "arrival"; 40; 4; >; 1
187; "departure"; 40; 4; >; 1
188; "arrival"; 16; 4; >; 1
189; "departure"; 16; 4; >; 1
190; "arrival"; 5; 4; >; 1
191; "departure"; 5; 4; >; 1
192; "arrival"; 36; 4; >; 1
193; "departure"; 36; 4; >; 1
194; "arrival"; 52; 4; >; 1
195; "departure"; 52; 4; >; 1
196; "arrival"; 39; 4; >; 1
197; "departure"; 39; 4; >; 1
198; "arrival"; 57; 4; >; 1
199; "departure"; 57; 4; >; 1
200; "arrival"; 34; 4; >; 1
201; "departure"; 34; 4; >; 1
202; "arrival"; 30; 4; >; 1
203; "departure"; 30; 4; >; 1
204; "arrival"; 22; 4; >; 1
205; "departure"; 22; 4; >; 1
206; "arrival"; 63; 4; >; 1
207; "departure"; 63; 4; >; 1
208; "arrival"; 66; 4; >; 1
209; "departure"; 66; 4; >; 1
210; "arrival"; 29; 4; >; 1
211; "departure"; 29; 4; >; 1
212; "arrival"; 28; 4; >; 1
213; "departure"; 28; 4; >; 1
214; "arrival"; 24; 4; >; 1
215; "departure"; 24; 4; >; 1
216; "arrival"; 46; 4; >; 1
217; "departure"; 46; 4; >; 1
218; "arrival"; 43; 4; >; 1
219; "departure"; 43; 4; >; 1
220; "arrival"; 21; 4; >; 1
221; "departure"; 21; 4; >; 1
222; "arrival"; 45; 4; >; 1
223; "departure"; 45; 4; >; 1
224; "arrival"; 13; 4; >; 1
225; "departure"; 13; 4; >; 1
226; "arrival"; 42; 4; >; 1
227; "departure"; 42; 4; >; 1
228; "arrival"; 26; 4; >; 1
229; "departure"; 26; 4; >; 1
230; "arrival"; 14; 4; >; 1
231; "departure"; 14; 4; >; 1
232; "arrival"; 1; 4; >; 1
233; "departure"; 1; 4; >; 1
234; "arrival"; 59; 4; >; 1
235; "departure"; 59; 4; <; 1
236; "arrival"; 1; 4; <; 1
237; "departure"; 1; 4; <; 1
238; "arrival"; 14; 4; <; 1
239; "departure"; 14; 4; <; 1
240; "arrival"; 26; 4; <; 1
241; "departure"; 26; 4; <; 1
242; "arrival"; 42; 4; <; 1
243; "departure"; 42; 4; <; 1
244; "arrival"; 13; 4; <; 1
245; "departure"; 13; 4; <; 1
246; "arrival"; 45; 4; <; 1
247; "departure"; 45; 4; <; 1
248; "arrival"; 21; 4; <; 1
249; "departure"; 21; 4; <; 1
250; "arrival"; 43; 4; <; 1
251; "departure"; 43; 4; <; 1
252; "arrival"; 46; 4; <; 1
253; "departure"; 46; 4; <; 1
254; "arrival"; 24; 4; <; 1
255; "departure"; 24; 4; <; 1
256; "arrival"; 28; 4; <; 1
257; "departure"; 28; 4; <; 1
258; "arrival"; 29; 4; <; 1
259; "departure"; 29; 4; <; 1
260; "arrival"; 66; 4; <; 1
261; "departure"; 66; 4; <; 1
262; "arrival"; 63; 4; <; 1
263; "departure"; 63; 4; <; 1
264; "arrival"; 22; 4; <; 1
265; "departure"; 22; 4; <; 1
266; "arrival"; 30; 4; <; 1
267; "departure"; 30; 4; <; 1
268; "arrival"; 34; 4; <; 1
269; "departure"; 34; 4; <; 1
270; "arrival"; 57; 4; <; 1
271; "departure"; 57; 4; <; 1
272; "arrival"; 39; 4; <; 1
273; "departure"; 39; 4; <; 1
274; "arrival"; 52; 4; <; 1
275; "departure"; 52; 4; <; 1
276; "arrival"; 36; 4; <; 1
277; "departure"; 36; 4; <; 1
278; "arrival"; 5; 4; <; 1
279; "departure"; 5; 4; <; 1
280; "arrival"; 16; 4; <; 1
281; "departure"; 16; 4; <; 1
282; "arrival"; 40; 4; <; 1
283; "departure"; 40; 4; <; 1
284; "arrival"; 60; 4; <; 1
285; "departure"; 60; 4; <; 1
286; "arrival"; 18; 4; <; 1
287; "departure"; 18; 4; <; 1
288; "arrival"; 17; 4; <; 1
289; "departure"; 17; 4; <; 1
290; "arrival"; 35; 4; <; 1
291; "departure"; 35; 4; <; 1
292; "arrival"; 25; 4; <; 1
293; "departure"; 25; 4; <; 1
294; "arrival"; 61; 4; <; 1
295; "departure"; 61; 4; <; 1
296; "arrival"; 50; 4; <; 1
297; "departure"; 7; 5; >; 1
298; "arrival"; 27; 5; >; 1
299; "departure"; 27; 5; >; 1
300; "arrival"; 19; 5; >; 1
301; "departure"; 19; 5; >; 1
302; "arrival"; 47; 5; >; 1
303; "departure"; 47; 5; >; 1
304; "arrival"; 8; 5; >; 1
