# activity_index; type; from_event; to_event; lower_bound; upper_bound
1; "drive"; 1; 2; 54; 54
2; "drive"; 3; 4; 54; 54
3; "drive"; 5; 6; 17; 17
4; "wait"; 6; 7; 1; 5
5; "drive"; 7; 8; 16; 16
6; "wait"; 8; 9; 2; 5
7; "drive"; 9; 10; 9; 9
8; "wait"; 10; 11; 1; 5
9; "drive"; 11; 12; 8; 8
10; "wait"; 12; 13; 1; 5
11; "drive"; 13; 14; 9; 9
12; "drive"; 15; 16; 17; 17
13; "wait"; 16; 17; 1; 5
14; "drive"; 17; 18; 16; 16
15; "wait"; 18; 19; 2; 5
16; "drive"; 19; 20; 9; 9
17; "wait"; 20; 21; 1; 5
18; "drive"; 21; 22; 8; 8
19; "wait"; 22; 23; 1; 5
20; "drive"; 23; 24; 9; 9
21; "drive"; 25; 26; 10; 10
22; "wait"; 26; 27; 1; 5
23; "drive"; 27; 28; 18; 18
24; "wait"; 28; 29; 2; 5
25; "drive"; 29; 30; 27; 27
26; "wait"; 30; 31; 2; 11
27; "drive"; 31; 32; 18; 18
28; "wait"; 32; 33; 1; 5
29; "drive"; 33; 34; 10; 10
30; "wait"; 34; 35; 0; 5
31; "drive"; 35; 36; 26; 26
32; "wait"; 36; 37; 1; 5
33; "drive"; 37; 38; 8; 8
34; "drive"; 39; 40; 53; 54
35; "wait"; 40; 41; 2; 12
36; "drive"; 41; 42; 55; 56
37; "wait"; 42; 43; 0; 5
38; "drive"; 43; 44; 8; 9
39; "wait"; 44; 45; 1; 5
40; "drive"; 45; 46; 9; 9
41; "drive"; 47; 48; 53; 54
42; "wait"; 48; 49; 2; 12
43; "drive"; 49; 50; 55; 56
44; "wait"; 50; 51; 0; 5
45; "drive"; 51; 52; 8; 9
46; "wait"; 52; 53; 1; 5
47; "drive"; 53; 54; 9; 9
48; "drive"; 55; 56; 53; 54
49; "wait"; 56; 57; 2; 12
50; "drive"; 57; 58; 55; 56
51; "wait"; 58; 59; 0; 5
52; "drive"; 59; 60; 8; 9
53; "wait"; 60; 61; 1; 5
54; "drive"; 61; 62; 9; 9
55; "drive"; 63; 64; 53; 54
56; "wait"; 64; 65; 2; 12
57; "drive"; 65; 66; 55; 56
58; "wait"; 66; 67; 0; 5
59; "drive"; 67; 68; 8; 9
60; "wait"; 68; 69; 1; 5
61; "drive"; 69; 70; 9; 9
62; "drive"; 71; 72; 27; 27
63; "wait"; 72; 73; 2; 5
64; "drive"; 73; 74; 28; 28
