# origin; destination; customers
1; 2; 14
1; 3; 3
1; 4; 1
1; 5; 2
1; 6; 1
1; 7; 3
1; 8; 41
1; 9; 15
1; 10; 2
1; 11; 537
1; 12; 1685
1; 13; 8
1; 14; 3
1; 15; 1597
1; 16; 10
1; 17; 7
1; 18; 95
1; 20; 10
1; 21; 722
1; 22; 7
1; 23; 19
1; 24; 63
1; 25; 1
1; 29; 29
1; 30; 98
1; 31; 2
1; 32; 79
1; 33; 70
1; 34; 14
1; 35; 15
1; 36; 1
1; 37; 5
1; 38; 4
1; 39; 9
1; 40; 22
1; 41; 21
1; 42; 359
1; 43; 69
1; 44; 15
1; 45; 2
1; 46; 3
1; 47; 4
1; 50; 16
1; 51; 12
1; 52; 11
1; 53; 2
1; 54; 30
1; 56; 76
1; 58; 6
1; 59; 30
1; 60; 5
1; 61; 42
1; 62; 7
1; 63; 140
1; 64; 31
1; 65; 94
1; 66; 1
1; 67; 2345
1; 68; 1
1; 69; 1
1; 70; 1
1; 71; 241
1; 72; 90
1; 73; 938
1; 75; 24
1; 76; 33
1; 77; 1
1; 78; 7
1; 79; 7
1; 80; 11
1; 81; 120
1; 83; 37
1; 84; 60
1; 85; 6556
1; 86; 2
1; 87; 28
1; 88; 2
1; 89; 36
1; 91; 115
1; 92; 32
1; 93; 8
1; 94; 3
1; 95; 1
1; 96; 41
1; 97; 1
1; 98; 35
1; 99; 156
1; 100; 2
1; 101; 7
1; 102; 8
1; 103; 25
1; 104; 58
1; 105; 85
1; 106; 78
1; 109; 2
1; 110; 130
1; 111; 2
1; 112; 8
1; 113; 17
1; 114; 140
1; 115; 184
1; 116; 4
1; 117; 24
1; 118; 48
1; 119; 8
1; 120; 2
1; 121; 21
1; 122; 7
1; 123; 10
1; 124; 64
1; 125; 1
1; 126; 26
1; 127; 20
1; 128; 55
1; 129; 326
1; 130; 1
1; 131; 3
1; 132; 45
1; 133; 76
1; 134; 40
1; 135; 420
1; 136; 207
1; 137; 24
1; 138; 278
1; 139; 2798
1; 140; 39
2; 1; 14
2; 8; 4
2; 11; 9
2; 12; 35
2; 13; 4
2; 15; 220
2; 16; 1
2; 17; 1
2; 18; 41
2; 20; 23
2; 21; 6
2; 22; 1
2; 23; 1
2; 24; 8
2; 25; 1
2; 28; 1
2; 29; 6
2; 30; 6
2; 32; 4
2; 33; 6
2; 34; 1
2; 35; 1
2; 38; 1
2; 39; 1
2; 40; 2
2; 41; 49
2; 42; 2
2; 43; 2
2; 44; 114
2; 45; 2
2; 46; 1
2; 50; 1
2; 51; 1
2; 52; 1
2; 54; 1
2; 56; 12
2; 58; 3
2; 59; 1
2; 61; 9
2; 62; 2
2; 63; 6
2; 64; 2
2; 65; 591
2; 67; 8
2; 69; 1
2; 70; 7
2; 71; 2
2; 72; 18
2; 73; 38
2; 75; 3
2; 76; 235
2; 78; 573
2; 79; 38
2; 80; 2
2; 81; 34
2; 83; 64
2; 84; 3
2; 85; 30
2; 86; 42
2; 87; 4
2; 89; 5
2; 91; 1
2; 92; 1
2; 93; 10
2; 94; 1
2; 96; 5
2; 97; 1
2; 98; 2
2; 99; 4
2; 101; 1
2; 102; 1
2; 103; 37
2; 104; 188
2; 105; 3
2; 106; 10
2; 109; 467
2; 110; 7
2; 112; 1
2; 113; 1
2; 114; 1
2; 115; 6
2; 116; 1
2; 117; 5
2; 118; 48
2; 119; 1
2; 121; 2
2; 122; 1
2; 123; 459
2; 124; 33
2; 126; 1
2; 127; 2
2; 128; 3
2; 129; 21
2; 132; 5
2; 133; 64
2; 134; 2
2; 135; 1
2; 136; 13
2; 137; 11
2; 138; 11
2; 139; 111
3; 1; 3
3; 6; 2
3; 8; 3
3; 11; 2
3; 12; 4
3; 13; 5
3; 15; 13
3; 16; 1
3; 18; 1
3; 20; 4
3; 21; 1
3; 22; 1
3; 29; 1
3; 30; 3
3; 33; 2
3; 34; 1
3; 35; 1
3; 36; 1
3; 39; 1
3; 40; 1
3; 41; 1
3; 44; 1
3; 51; 4
3; 56; 2
3; 62; 1
3; 63; 1
3; 65; 3
3; 67; 2
3; 72; 5
3; 73; 17
3; 81; 1
3; 85; 5
3; 89; 2
3; 96; 2
3; 98; 1
3; 99; 1
3; 101; 1
3; 103; 1
3; 104; 1
3; 106; 1
3; 110; 2
3; 115; 1
3; 116; 1
3; 117; 2
3; 118; 4
3; 121; 1
3; 124; 3
3; 126; 1
3; 127; 1
3; 128; 1
3; 129; 6
3; 132; 2
3; 133; 1
3; 134; 1
3; 136; 6
3; 138; 3
3; 139; 35
4; 1; 1
4; 8; 8
4; 11; 1
4; 12; 2
4; 13; 1
4; 15; 10
4; 17; 1
4; 18; 1
4; 20; 1
4; 21; 1
4; 22; 4
4; 23; 1
4; 24; 1
4; 29; 1
4; 30; 4
4; 33; 2
4; 34; 2
4; 35; 25
4; 39; 57
4; 51; 2
4; 56; 1
4; 62; 1
4; 63; 1
4; 65; 1
4; 72; 3
4; 73; 24
4; 81; 1
4; 85; 3
4; 87; 1
4; 89; 3
4; 96; 1
4; 98; 1
4; 99; 1
4; 101; 1
4; 102; 1
4; 104; 1
4; 110; 2
4; 113; 2
4; 115; 1
4; 118; 1
4; 121; 1
4; 124; 1
4; 126; 1
4; 127; 1
4; 128; 1
4; 129; 5
4; 132; 3
4; 133; 1
4; 134; 2
4; 136; 9
4; 138; 3
4; 139; 36
5; 1; 2
5; 7; 5
5; 8; 4
5; 10; 3
5; 11; 8
5; 12; 9
5; 13; 2
5; 14; 1
5; 15; 16
5; 16; 1
5; 17; 1
5; 18; 2
5; 20; 1
5; 21; 4
5; 22; 1
5; 23; 26
5; 24; 1
5; 29; 2
5; 30; 28
5; 32; 1
5; 33; 6
5; 35; 1
5; 37; 1
5; 38; 3
5; 40; 8
5; 41; 1
5; 42; 1
5; 44; 2
5; 47; 4
5; 51; 1
5; 52; 210
5; 53; 3
5; 56; 1
5; 59; 8
5; 61; 1
5; 62; 13
5; 63; 1
5; 65; 3
5; 67; 1
5; 71; 1
5; 72; 6
5; 73; 18
5; 76; 1
5; 81; 2
5; 83; 1
5; 84; 1
5; 85; 10
5; 87; 2
5; 89; 12
5; 92; 33
5; 94; 64
5; 97; 1
5; 98; 19
5; 99; 6
5; 101; 1
5; 102; 2
5; 103; 1
5; 104; 2
5; 106; 1
5; 110; 394
5; 111; 51
5; 112; 1
5; 113; 1
5; 115; 2
5; 117; 7
5; 118; 3
5; 119; 2
5; 121; 7
5; 122; 4
5; 124; 2
5; 125; 3
5; 126; 11
5; 127; 19
5; 128; 23
5; 129; 49
5; 132; 8
5; 133; 1
5; 134; 9
5; 136; 13
5; 138; 17
5; 139; 148
5; 140; 1
6; 1; 1
6; 3; 2
6; 8; 1
6; 11; 1
6; 12; 1
6; 13; 2
6; 15; 4
6; 16; 1
6; 20; 1
6; 30; 1
6; 33; 1
6; 36; 1
6; 51; 1
6; 56; 1
6; 65; 1
6; 67; 1
6; 72; 2
6; 73; 5
6; 85; 2
6; 89; 1
6; 96; 1
6; 110; 1
6; 117; 1
6; 118; 1
6; 124; 1
6; 129; 2
6; 132; 1
6; 136; 2
6; 138; 1
6; 139; 12
7; 1; 3
7; 5; 5
7; 8; 2
7; 10; 1
7; 11; 3
7; 12; 11
7; 13; 1
7; 15; 21
7; 18; 2
7; 20; 1
7; 21; 2
7; 23; 4
7; 24; 1
7; 30; 6
7; 32; 1
7; 33; 1
7; 38; 8
7; 40; 11
7; 41; 1
7; 44; 1
7; 47; 9
7; 52; 8
7; 53; 5
7; 56; 1
7; 59; 53
7; 62; 5
7; 63; 1
7; 64; 1
7; 65; 3
7; 67; 2
7; 71; 1
7; 72; 1
7; 73; 14
7; 81; 1
7; 85; 5
7; 87; 2
7; 89; 3
7; 91; 1
7; 92; 464
7; 94; 26
7; 96; 1
7; 98; 6
7; 99; 12
7; 102; 1
7; 106; 1
7; 110; 394
